iter	RMSE
0	5.823897018
1	5.473261811
2	5.213781742
3	4.957108467
4	4.722758605
5	4.490451481
6	4.270700672
7	4.095611672
8	3.94047826
9	3.782167692
10	3.631298201
11	3.498405638
12	3.408076141
13	3.29877588
14	3.175108087
15	3.081482119
16	3.005155716
17	2.949939467
18	2.872554985
19	2.786538009
20	2.721102294
21	2.675532466
22	2.612490808
23	2.557617528
24	2.511338261
25	2.472819197
26	2.431697058
27	2.393291152
28	2.345275156
29	2.297375775
30	2.257792825
31	2.233019372
32	2.204897128
33	2.168934206
34	2.13764575
35	2.111668948
36	2.082506128
37	2.057857283
38	2.0333353
39	1.996941152
40	1.97051286
41	1.947164582
42	1.922361424
43	1.910234645
44	1.896365771
45	1.877064518
46	1.855103441
47	1.834584782
48	1.821453947
49	1.80645705
50	1.79059245
51	1.767806954
52	1.748481222
53	1.731911874
54	1.71768354
55	1.704815787
56	1.688664769
57	1.673713035
58	1.662756986
59	1.646361313
60	1.637386714
61	1.627894358
62	1.622404037
63	1.610468149
64	1.596254393
65	1.584701866
66	1.57399863
67	1.558905962
68	1.551030707
69	1.546676288
70	1.541033768
71	1.52815114
72	1.520772326
73	1.5121378
74	1.503298854
75	1.499041747
76	1.487325983
77	1.482273003
78	1.47151989
79	1.464896158
80	1.455773358
81	1.451600275
82	1.443793503
83	1.436769365
84	1.423976161
85	1.417580629
86	1.41283259
87	1.399102241
88	1.394033923
89	1.388057723
90	1.382412257
91	1.369518262
92	1.361657844
93	1.34844349
94	1.344075238
95	1.338876565
96	1.328158206
97	1.320451266
98	1.314558696
99	1.304219878
100	1.298359574
101	1.290878539
102	1.28784584
103	1.284202244
104	1.276663951
105	1.268426467
106	1.262652209
107	1.255883435
108	1.247071472
109	1.24042271
110	1.229355774
111	1.221797794
112	1.211102572
113	1.201809291
114	1.19669163
115	1.193452499
116	1.187559311
117	1.183507221
118	1.178209873
119	1.169523891
120	1.162821797
121	1.157000981
122	1.147914807
123	1.136996002
124	1.132564104
125	1.126270807
126	1.121729478
127	1.116302179
128	1.112144873
129	1.107422191
130	1.104553237
131	1.102679775
132	1.099113065
133	1.094958106
134	1.091698309
135	1.08390786
136	1.079966161
137	1.077676454
138	1.073805685
139	1.067575426
140	1.062650319
141	1.058312243
142	1.05383771
143	1.050382879
144	1.044051122
145	1.039139698
146	1.036148014
147	1.0342067
148	1.031235281
149	1.027300355
150	1.025697983
151	1.020434884
152	1.018023673
153	1.016065372
154	1.014034382
155	1.007099112
156	1.004534365
157	1.002581706
158	0.9963761041
159	0.9910564923
160	0.984464219
161	0.9815056035
162	0.9744360194
163	0.9675617717
164	0.9645028143
165	0.9611327665
166	0.9587423328
167	0.9546026441
168	0.9504921964
169	0.9482893999
170	0.9461757559
171	0.9441294507
172	0.9423645693
173	0.9362540864
174	0.9340571637
175	0.9320570737
176	0.9290113071
177	0.9257088584
178	0.9217331754
179	0.9191211343
180	0.9170834952
181	0.9151125119
182	0.9103023409
183	0.9081647972
184	0.9037143184
185	0.9011210525
186	0.8972335768
187	0.8951490895
188	0.8921894737
189	0.8902563919
190	0.8852532265
191	0.8827122557
192	0.8796325297
193	0.8764407708
194	0.8729318205
195	0.8679340301
196	0.8638189161
197	0.862059309
198	0.8567337166
199	0.8537301128
